GEOID,sovi,rank
g19145,0.8582975114359084,1105.0
g19147,1.219600288934139,923.0
g19149,-1.6317823826647309,2368.0
g19151,1.5991772186741626,760.0
g19153,-2.3111778802707215,2575.0
g19155,0.10345503058109351,1521.0
g19157,0.9327344864797393,1062.0
g19159,2.686506765541564,398.0
g19161,1.184537374004275,942.0
g19163,-1.8796650459221258,2453.0
g19165,0.6275630596265449,1227.0
g19167,-2.2397546878436136,2558.0
g19169,-4.574721156334366,2988.0
g19171,1.9444667324335145,613.0
g19173,2.167535412207522,533.0
g19175,0.8631718219840425,1101.0
g19177,0.6098950833678365,1237.0
g19179,1.3733606880187599,861.0
g19181,-2.3782372677439945,2591.0
g19183,0.07056810083496012,1543.0
g19185,2.040913021563027,577.0
g19187,0.4733602181594849,1326.0
g19189,0.094519767176382,1525.0
g19191,-1.0421236095849467,2119.0
g19193,0.4193628530120548,1352.0
g19195,-0.6560398944614498,1940.0
g19197,1.6475675594438255,741.0
g20001,1.3967857078343147,854.0
g20003,0.6236828096789786,1229.0
g20005,0.8095298434241225,1134.0
g20007,-0.3492774046892407,1787.0
g20009,0.7504669249702742,1166.0
g20011,1.619422000426951,754.0
g20013,4.0312269181919795,189.0
g20015,-3.1267866666423068,2786.0
g20017,2.4895457427821173,439.0
g20019,3.364839121765522,274.0
g20021,1.0458089823743495,1011.0
g20023,3.1237741475067,313.0
g20025,3.5687441726241103,247.0
g20027,0.04708592115270882,1554.0
g20029,3.7881688285183737,222.0
g20031,0.2999903351778226,1420.0
g20033,2.773848489339177,380.0
g20035,0.8800962511033482,1093.0
g20037,0.21165871127124047,1461.0
g20039,4.265199438467818,165.0
g20041,-0.23864010593621465,1716.0
g20043,-1.6782471362513127,2385.0
g20045,-3.173938320746826,2794.0
g20047,-0.6855436690344867,1957.0
g20049,2.8415854432484204,362.0
g20051,-1.278825214812957,2242.0
g20053,-0.9201297973114548,2073.0
g20055,0.24009040280320726,1447.0
g20057,1.0341835914387332,1019.0
g20059,-0.8994197856051092,2062.0
g20061,-1.8492805095900633,2440.0
g20063,-0.2639856236350382,1736.0
g20065,1.057068183839288,1006.0
g20067,-1.0231726567714177,2106.0
g20069,-0.9596244989311844,2086.0
g20071,2.8026442678461696,371.0
g20073,2.9330614471968524,336.0
g20075,-0.6581170702702022,1941.0
g20077,2.0050349955995683,588.0
g20079,0.8652721989734495,1100.0
g20081,-1.6121409082044718,2360.0
g20083,-2.002956035948335,2489.0
g20085,-0.22618239592252487,1707.0
g20087,-3.072166439049462,2773.0
g20089,1.7455007259257835,698.0
g20091,-5.314727475937361,3042.0
g20093,-2.161109760120602,2540.0
g20095,-0.23050273612096633,1712.0
g20097,0.11386811607800751,1518.0
g20099,1.5713505941614057,777.0
g20101,-0.4317086610554819,1832.0
g20103,-3.5991580425496412,2870.0
g20105,1.492200115271057,813.0
g20107,-2.3054720028310367,2573.0
g20109,0.6585944543614011,1218.0
g20111,1.7051126821465017,720.0
g20113,-0.40341164278228514,1818.0
g20115,0.8696792541654138,1098.0
g20117,1.016865999471859,1028.0
g20119,0.7233468735714428,1176.0
g20121,-3.0933948159066027,2780.0
g20123,0.14375206982000965,1495.0
g20125,2.0995950780692203,550.0
g20127,0.715535930244898,1186.0
g20129,1.0215015612996536,1026.0
g20131,1.715412549342036,712.0
g20133,1.7123564699038785,714.0
g20135,3.1691930312711643,308.0
g20137,-1.1485959817237388,2174.0
g20139,-0.8117238223691936,2019.0
g20141,2.207420738711539,521.0
g20143,-2.622240499415378,2662.0
g20145,-1.8765289070910027,2450.0
g20147,1.1679519578904396,951.0
g20149,-3.355640388542998,2833.0
g20151,-0.08121908389919574,1622.0
g20153,2.2411310766663854,510.0
g20155,0.7967605585326922,1141.0
g20157,2.3491371174751583,473.0
g20159,1.2583860056326595,911.0
g20161,-3.82554238242134,2913.0
g20163,1.2082376751056998,927.0
g20165,1.801764233792289,676.0
g20167,0.4065510763063924,1361.0
g20169,-0.05371012223913918,1607.0
g20171,-0.3826912300232207,1802.0
g20173,-1.2574066588832002,2236.0
g20175,1.8311208683484121,657.0
g20177,1.1655958998057712,954.0
g20179,-0.19219580790063306,1690.0
g20181,1.56251216023185,782.0
g20183,3.602057081746649,243.0
g20185,2.0960972744580246,552.0
g20187,0.12350210319364496,1509.0
g20189,-0.730249772864366,1982.0
g20191,-0.6610028794257765,1942.0
g20193,-0.6722248902847794,1949.0
g20195,0.6326638703199102,1225.0
g20197,-2.2088045759163037,2551.0
g20199,-1.0381932312907012,2115.0
g20201,0.5405986369212242,1284.0
g20203,-1.370229941295217,2271.0
g20205,2.367234906063313,469.0
g20207,2.431344360527296,450.0
g20209,3.0566955188831955,322.0
g21001,0.3527617837584711,1395.0
g21003,-0.2148660659459165,1701.0
g21005,-2.1645332190007918,2541.0
g21007,-1.9686864079592126,2480.0
g21009,0.8907743747275912,1086.0
g21011,-0.8029735087531753,2014.0
g21013,3.467617159072241,264.0
g21015,-4.7123889905025385,3000.0
g21017,1.4007297049641667,851.0
g21019,0.011518836261496385,1574.0
g21021,0.8813380785076035,1091.0
g21023,-1.6327596414141328,2369.0
g21025,2.993031857588954,327.0
g21027,-1.0968772915145635,2147.0
g21029,-3.715885188189036,2891.0
g21031,-1.7269149458558095,2399.0
g21033,1.9233057843646957,623.0
g21035,-0.19051470229445477,1687.0
g21037,-1.539207609956337,2336.0
g21039,0.8553923018066502,1107.0
g21041,0.5718119843824945,1260.0
g21043,-1.2262628486870852,2217.0
g21045,1.094757951856802,990.0
g21047,-0.22828717652979846,1708.0
g21049,-0.972996619579535,2090.0
g21051,-0.3202931045045818,1768.0
g21053,0.8424030280554966,1115.0
g21055,0.48217897712974844,1320.0
g21057,2.9173499373121388,339.0
g21059,0.0678212680035738,1546.0
g21061,-1.0398301725220809,2117.0
g21063,0.8913785603161277,1085.0
g21065,1.4508026345625917,825.0
g21067,-1.5350682013495895,2335.0
g21069,-2.0394777586757744,2503.0
g21071,1.317127408425771,889.0
g21073,-0.3464233241499397,1783.0
g21075,-0.1349984394726128,1656.0
g21077,-1.2102946113954811,2211.0
